app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321178449165, ref_stop_time: 2435321178610805, actual_exe_time: 161640, task_app_start_time:2435321177123495, task_sched_time:2435321178444065
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321181523416, ref_stop_time: 2435321181604896, actual_exe_time: 81480, task_app_start_time:2435321177123495, task_sched_time:2435321180581806
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321181611016, ref_stop_time: 2435321181692106, actual_exe_time: 81090, task_app_start_time:2435321180472696, task_sched_time:2435321181511566
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321181739506, ref_stop_time: 2435321181824766, actual_exe_time: 85260, task_app_start_time:2435321177123495, task_sched_time:2435321181735996
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321182812906, ref_stop_time: 2435321182894806, actual_exe_time: 81900, task_app_start_time:2435321180472696, task_sched_time:2435321182804866
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321183025996, ref_stop_time: 2435321183106036, actual_exe_time: 80040, task_app_start_time:2435321181753696, task_sched_time:2435321183016126
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321183110866, ref_stop_time: 2435321183196246, actual_exe_time: 85380, task_app_start_time:2435321180472696, task_sched_time:2435321183019636
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321184228426, ref_stop_time: 2435321184308076, actual_exe_time: 79650, task_app_start_time:2435321181753696, task_sched_time:2435321184224886
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321184441816, ref_stop_time: 2435321184523176, actual_exe_time: 81360, task_app_start_time:2435321181753696, task_sched_time:2435321184439446
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321185001226, ref_stop_time: 2435321185078686, actual_exe_time: 77460, task_app_start_time:2435321184071226, task_sched_time:2435321184998406
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321185146696, ref_stop_time: 2435321185223796, actual_exe_time: 77100, task_app_start_time:2435321184071226, task_sched_time:2435321185144236
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321185338396, ref_stop_time: 2435321185418826, actual_exe_time: 80430, task_app_start_time:2435321184071226, task_sched_time:2435321185335786
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321187256627, ref_stop_time: 2435321187338617, actual_exe_time: 81990, task_app_start_time:2435321186384377, task_sched_time:2435321187248467
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321188202587, ref_stop_time: 2435321188284757, actual_exe_time: 82170, task_app_start_time:2435321186384377, task_sched_time:2435321188196107
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435321188458277, ref_stop_time: 2435321188543027, actual_exe_time: 84750, task_app_start_time:2435321186384377, task_sched_time:2435321188452247
