app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435478416150420, ref_stop_time: 2435478416318360, actual_exe_time: 167940, task_app_start_time:2435478413919080, task_sched_time:2435478415707440
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435478417287660, ref_stop_time: 2435478417426620, actual_exe_time: 138960, task_app_start_time:2435478416237330, task_sched_time:2435478417275510
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435478419416641, ref_stop_time: 2435478419517171, actual_exe_time: 100530, task_app_start_time:2435478416237330, task_sched_time:2435478419407941
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435478419626641, ref_stop_time: 2435478419768721, actual_exe_time: 142080, task_app_start_time:2435478413919080, task_sched_time:2435478418742540
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435478419779161, ref_stop_time: 2435478419853981, actual_exe_time: 74820, task_app_start_time:2435478418549940, task_sched_time:2435478419615511
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435478419780451, ref_stop_time: 2435478419867841, actual_exe_time: 87390, task_app_start_time:2435478416237330, task_sched_time:2435478419771841
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435478420039861, ref_stop_time: 2435478420123201, actual_exe_time: 83340, task_app_start_time:2435478413919080, task_sched_time:2435478420034911
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435478421835031, ref_stop_time: 2435478421894881, actual_exe_time: 59850, task_app_start_time:2435478418549940, task_sched_time:2435478421827621
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435478421835541, ref_stop_time: 2435478421921821, actual_exe_time: 86280, task_app_start_time:2435478420865221, task_sched_time:2435478421771041
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435478422163111, ref_stop_time: 2435478422271591, actual_exe_time: 108480, task_app_start_time:2435478418549940, task_sched_time:2435478422152491
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435478423680781, ref_stop_time: 2435478423763521, actual_exe_time: 82740, task_app_start_time:2435478420865221, task_sched_time:2435478423664881
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435478424113621, ref_stop_time: 2435478424193541, actual_exe_time: 79920, task_app_start_time:2435478423209481, task_sched_time:2435478424105131
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435478424119921, ref_stop_time: 2435478424209861, actual_exe_time: 89940, task_app_start_time:2435478420865221, task_sched_time:2435478423991821
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435478425931442, ref_stop_time: 2435478425993122, actual_exe_time: 61680, task_app_start_time:2435478423209481, task_sched_time:2435478425922352
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435478426223432, ref_stop_time: 2435478426320302, actual_exe_time: 96870, task_app_start_time:2435478423209481, task_sched_time:2435478426219802
