app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434930769006516, ref_stop_time: 2434930769160716, actual_exe_time: 154200, task_app_start_time:2434930767702686, task_sched_time:2434930768986236
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434930769450156, ref_stop_time: 2434930769597666, actual_exe_time: 147510, task_app_start_time:2434930768361066, task_sched_time:2434930769433176
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434930771134986, ref_stop_time: 2434930771278836, actual_exe_time: 143850, task_app_start_time:2434930770096206, task_sched_time:2434930771120256
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434930771594496, ref_stop_time: 2434930771712276, actual_exe_time: 117780, task_app_start_time:2434930768361066, task_sched_time:2434930771590566
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434930771606556, ref_stop_time: 2434930771719506, actual_exe_time: 112950, task_app_start_time:2434930767702686, task_sched_time:2434930771546406
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434930772891726, ref_stop_time: 2434930772971886, actual_exe_time: 80160, task_app_start_time:2434930771833326, task_sched_time:2434930772886446
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434930772926886, ref_stop_time: 2434930773019796, actual_exe_time: 92910, task_app_start_time:2434930768361066, task_sched_time:2434930771968056
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434930773073016, ref_stop_time: 2434930773156026, actual_exe_time: 83010, task_app_start_time:2434930767702686, task_sched_time:2434930773068576
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434930773246296, ref_stop_time: 2434930773306776, actual_exe_time: 60480, task_app_start_time:2434930770096206, task_sched_time:2434930773234086
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434930773670587, ref_stop_time: 2434930773779907, actual_exe_time: 109320, task_app_start_time:2434930770096206, task_sched_time:2434930773664077
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434930774508457, ref_stop_time: 2434930774589157, actual_exe_time: 80700, task_app_start_time:2434930773584997, task_sched_time:2434930774501767
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434930775250057, ref_stop_time: 2434930775330997, actual_exe_time: 80940, task_app_start_time:2434930771833326, task_sched_time:2434930775246187
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434930775588607, ref_stop_time: 2434930775672997, actual_exe_time: 84390, task_app_start_time:2434930771833326, task_sched_time:2434930775585457
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434930776357027, ref_stop_time: 2434930776418797, actual_exe_time: 61770, task_app_start_time:2434930773584997, task_sched_time:2434930776342807
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434930776650967, ref_stop_time: 2434930776748167, actual_exe_time: 97200, task_app_start_time:2434930773584997, task_sched_time:2434930776646347
