app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845611935469, ref_stop_time: 2433845612043799, actual_exe_time: 108330, task_app_start_time:2433845610642019, task_sched_time:2433845611914859
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845613463039, ref_stop_time: 2433845613526849, actual_exe_time: 63810, task_app_start_time:2433845612381149, task_sched_time:2433845613446449
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845615188849, ref_stop_time: 2433845615248819, actual_exe_time: 59970, task_app_start_time:2433845614114849, task_sched_time:2433845615175649
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845615388889, ref_stop_time: 2433845615447659, actual_exe_time: 58770, task_app_start_time:2433845610642019, task_sched_time:2433845615332999
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2433845615581639, ref_stop_time: 2433845615706679, actual_exe_time: 125040, task_app_start_time:2433845610642019, task_sched_time:2433845615576239
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845615609479, ref_stop_time: 2433845615675299, actual_exe_time: 65820, task_app_start_time:2433845612381149, task_sched_time:2433845615518999
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845615961349, ref_stop_time: 2433845616062449, actual_exe_time: 101100, task_app_start_time:2433845612381149, task_sched_time:2433845615953579
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845616821450, ref_stop_time: 2433845616880820, actual_exe_time: 59370, task_app_start_time:2433845615849989, task_sched_time:2433845616813770
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845618726030, ref_stop_time: 2433845618787620, actual_exe_time: 61590, task_app_start_time:2433845614114849, task_sched_time:2433845617653260
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2433845618755580, ref_stop_time: 2433845618822900, actual_exe_time: 67320, task_app_start_time:2433845615849989, task_sched_time:2433845618747330
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845618792540, ref_stop_time: 2433845618853980, actual_exe_time: 61440, task_app_start_time:2433845617582610, task_sched_time:2433845618744000
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845619054890, ref_stop_time: 2433845619154520, actual_exe_time: 99630, task_app_start_time:2433845614114849, task_sched_time:2433845619051830
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2433845619089810, ref_stop_time: 2433845619193280, actual_exe_time: 103470, task_app_start_time:2433845615849989, task_sched_time:2433845619081170
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845620692110, ref_stop_time: 2433845620753160, actual_exe_time: 61050, task_app_start_time:2433845617582610, task_sched_time:2433845620680560
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2433845620988660, ref_stop_time: 2433845621088440, actual_exe_time: 99780, task_app_start_time:2433845617582610, task_sched_time:2433845620981490
