app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084293643163, ref_stop_time: 1799084293667253, actual_exe_time: 24090, task_app_start_time:1799084285413802, task_sched_time:1799084293636803
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 20, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084294274003, ref_stop_time: 1799084294297103, actual_exe_time: 23100, task_app_start_time:1799084274614400, task_sched_time:1799084294265513
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 21, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084295910234, ref_stop_time: 1799084295933064, actual_exe_time: 22830, task_app_start_time:1799084274614400, task_sched_time:1799084295907894
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084296119274, ref_stop_time: 1799084296142644, actual_exe_time: 23370, task_app_start_time:1799084285413802, task_sched_time:1799084296101634
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 22, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084296668664, ref_stop_time: 1799084296690204, actual_exe_time: 21540, task_app_start_time:1799084274614400, task_sched_time:1799084296655224
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 23, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084297202874, ref_stop_time: 1799084297224324, actual_exe_time: 21450, task_app_start_time:1799084274614400, task_sched_time:1799084297186194
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084297713864, ref_stop_time: 1799084297737384, actual_exe_time: 23520, task_app_start_time:1799084285413802, task_sched_time:1799084297706604
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084298737944, ref_stop_time: 1799084298885934, actual_exe_time: 147990, task_app_start_time:1799084295027904, task_sched_time:1799084298728464
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 24, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084299301914, ref_stop_time: 1799084299418074, actual_exe_time: 116160, task_app_start_time:1799084274614400, task_sched_time:1799084299299424
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084299820464, ref_stop_time: 1799084300174944, actual_exe_time: 354480, task_app_start_time:1799084295027904, task_sched_time:1799084299817674
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 25, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084300392174, ref_stop_time: 1799084300581504, actual_exe_time: 189330, task_app_start_time:1799084274614400, task_sched_time:1799084300377114
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084300984375, ref_stop_time: 1799084301008615, actual_exe_time: 24240, task_app_start_time:1799084285413802, task_sched_time:1799084300978135
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084302144265, ref_stop_time: 1799084302168625, actual_exe_time: 24360, task_app_start_time:1799084295027904, task_sched_time:1799084302142225
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 26, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084302529375, ref_stop_time: 1799084302552415, actual_exe_time: 23040, task_app_start_time:1799084274614400, task_sched_time:1799084302512695
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 27, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084303507165, ref_stop_time: 1799084303528255, actual_exe_time: 21090, task_app_start_time:1799084274614400, task_sched_time:1799084303496125
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084303880845, ref_stop_time: 1799084304216845, actual_exe_time: 336000, task_app_start_time:1799084285413802, task_sched_time:1799084303875265
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084304362435, ref_stop_time: 1799084304983435, actual_exe_time: 621000, task_app_start_time:1799084295027904, task_sched_time:1799084304358145
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 28, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084305480325, ref_stop_time: 1799084305502435, actual_exe_time: 22110, task_app_start_time:1799084274614400, task_sched_time:1799084305474895
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 10, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084306647955, ref_stop_time: 1799084306672615, actual_exe_time: 24660, task_app_start_time:1799084285413802, task_sched_time:1799084306644895
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084307177606, ref_stop_time: 1799084307483036, actual_exe_time: 305430, task_app_start_time:1799084295027904, task_sched_time:1799084307169746
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 29, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084307674736, ref_stop_time: 1799084307697266, actual_exe_time: 22530, task_app_start_time:1799084274614400, task_sched_time:1799084307670326
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084308143876, ref_stop_time: 1799084308164936, actual_exe_time: 21060, task_app_start_time:1799084274614400, task_sched_time:1799084308138746
app_id: 3, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084308570596, ref_stop_time: 1799084308700106, actual_exe_time: 129510, task_app_start_time:1799084304864155, task_sched_time:1799084308563906
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 11, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084309133456, ref_stop_time: 1799084309281386, actual_exe_time: 147930, task_app_start_time:1799084285413802, task_sched_time:1799084309119986
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084310398406, ref_stop_time: 1799084310546906, actual_exe_time: 148500, task_app_start_time:1799084295027904, task_sched_time:1799084310389946
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 31, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084310800106, ref_stop_time: 1799084311354056, actual_exe_time: 553950, task_app_start_time:1799084274614400, task_sched_time:1799084310798726
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 12, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084311840956, ref_stop_time: 1799084311988136, actual_exe_time: 147180, task_app_start_time:1799084285413802, task_sched_time:1799084311834146
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084312390256, ref_stop_time: 1799084312709246, actual_exe_time: 318990, task_app_start_time:1799084295027904, task_sched_time:1799084312385396
