app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2430540109819846, ref_stop_time: 2430540109841476, actual_exe_time: 21630, task_app_start_time:2430540090844933, task_sched_time:2430540109808686
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2430540110214526, ref_stop_time: 2430540110236666, actual_exe_time: 22140, task_app_start_time:2430540100558994, task_sched_time:2430540110210476
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 10, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2430540110593636, ref_stop_time: 2430540110618326, actual_exe_time: 24690, task_app_start_time:2430540090844933, task_sched_time:2430540110587426
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2430540111055726, ref_stop_time: 2430540111084646, actual_exe_time: 28920, task_app_start_time:2430540100558994, task_sched_time:2430540111050926
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 11, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2430540111510586, ref_stop_time: 2430540111546586, actual_exe_time: 36000, task_app_start_time:2430540090844933, task_sched_time:2430540111096916
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2430540113366657, ref_stop_time: 2430540113393087, actual_exe_time: 26430, task_app_start_time:2430540100558994, task_sched_time:2430540113363927
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2430540113909177, ref_stop_time: 2430540113934947, actual_exe_time: 25770, task_app_start_time:2430540110712946, task_sched_time:2430540113898977
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 12, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2430540114463487, ref_stop_time: 2430540114488087, actual_exe_time: 24600, task_app_start_time:2430540090844933, task_sched_time:2430540114456467
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2430540115114367, ref_stop_time: 2430540115141187, actual_exe_time: 26820, task_app_start_time:2430540110712946, task_sched_time:2430540115108217
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2430540115765667, ref_stop_time: 2430540115791737, actual_exe_time: 26070, task_app_start_time:2430540100558994, task_sched_time:2430540115762727
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 13, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2430540116363147, ref_stop_time: 2430540116385197, actual_exe_time: 22050, task_app_start_time:2430540090844933, task_sched_time:2430540116353787
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 14, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2430540116880947, ref_stop_time: 2430540116904527, actual_exe_time: 23580, task_app_start_time:2430540090844933, task_sched_time:2430540116836307
