app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123502929273, ref_stop_time: 2435123503038113, actual_exe_time: 108840, task_app_start_time:2435123501599253, task_sched_time:2435123502915743
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123504420153, ref_stop_time: 2435123504478983, actual_exe_time: 58830, task_app_start_time:2435123503337093, task_sched_time:2435123504414003
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123505470933, ref_stop_time: 2435123505533093, actual_exe_time: 62160, task_app_start_time:2435123501599253, task_sched_time:2435123505460703
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123505807923, ref_stop_time: 2435123505911903, actual_exe_time: 103980, task_app_start_time:2435123501599253, task_sched_time:2435123505798473
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123506383203, ref_stop_time: 2435123506444943, actual_exe_time: 61740, task_app_start_time:2435123505074003, task_sched_time:2435123506152413
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123506512384, ref_stop_time: 2435123506571394, actual_exe_time: 59010, task_app_start_time:2435123503337093, task_sched_time:2435123506508784
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123507761644, ref_stop_time: 2435123507861604, actual_exe_time: 99960, task_app_start_time:2435123503337093, task_sched_time:2435123506896984
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123507975184, ref_stop_time: 2435123508037134, actual_exe_time: 61950, task_app_start_time:2435123506816974, task_sched_time:2435123507748024
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123509431174, ref_stop_time: 2435123509493634, actual_exe_time: 62460, task_app_start_time:2435123505074003, task_sched_time:2435123509423044
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435123509451994, ref_stop_time: 2435123509533534, actual_exe_time: 81540, task_app_start_time:2435123508541674, task_sched_time:2435123509435644
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123509823424, ref_stop_time: 2435123509886724, actual_exe_time: 63300, task_app_start_time:2435123506816974, task_sched_time:2435123509812834
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123510189424, ref_stop_time: 2435123510288664, actual_exe_time: 99240, task_app_start_time:2435123505074003, task_sched_time:2435123510185824
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123510475324, ref_stop_time: 2435123510575404, actual_exe_time: 100080, task_app_start_time:2435123506816974, task_sched_time:2435123510335704
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123511268974, ref_stop_time: 2435123511328764, actual_exe_time: 59790, task_app_start_time:2435123508541674, task_sched_time:2435123511261024
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435123511573954, ref_stop_time: 2435123511670644, actual_exe_time: 96690, task_app_start_time:2435123508541674, task_sched_time:2435123511564744
