app_id: 0, app_name: TX_api-aarch64, task_id: 27, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772879008083, ref_stop_time: 254772879029563, actual_exe_time: 21480, task_app_start_time:254772814643463, task_sched_time:254772879005623
app_id: 0, app_name: TX_api-aarch64, task_id: 28, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772879541694, ref_stop_time: 254772879576734, actual_exe_time: 35040, task_app_start_time:254772814643463, task_sched_time:254772879529904
app_id: 0, app_name: TX_api-aarch64, task_id: 29, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772880702754, ref_stop_time: 254772880740344, actual_exe_time: 37590, task_app_start_time:254772814643463, task_sched_time:254772880698284
app_id: 0, app_name: TX_api-aarch64, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254772900835637, ref_stop_time: 254772900858317, actual_exe_time: 22680, task_app_start_time:254772814643463, task_sched_time:254772900832487
app_id: 0, app_name: TX_api-aarch64, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254772901590617, ref_stop_time: 254772901616057, actual_exe_time: 25440, task_app_start_time:254772814643463, task_sched_time:254772901581827
app_id: 0, app_name: TX_api-aarch64, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772902324597, ref_stop_time: 254772902346317, actual_exe_time: 21720, task_app_start_time:254772814643463, task_sched_time:254772902316047
app_id: 0, app_name: TX_api-aarch64, task_id: 33, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772902919167, ref_stop_time: 254772902954807, actual_exe_time: 35640, task_app_start_time:254772814643463, task_sched_time:254772902910887
app_id: 0, app_name: TX_api-aarch64, task_id: 34, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772903758117, ref_stop_time: 254772903796607, actual_exe_time: 38490, task_app_start_time:254772814643463, task_sched_time:254772903749447
app_id: 0, app_name: TX_api-aarch64, task_id: 35, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254772904155138, ref_stop_time: 254772904176738, actual_exe_time: 21600, task_app_start_time:254772814643463, task_sched_time:254772904150158
app_id: 0, app_name: TX_api-aarch64, task_id: 36, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254772905286078, ref_stop_time: 254772905311248, actual_exe_time: 25170, task_app_start_time:254772814643463, task_sched_time:254772905281818
app_id: 0, app_name: TX_api-aarch64, task_id: 37, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772905979738, ref_stop_time: 254772906001128, actual_exe_time: 21390, task_app_start_time:254772814643463, task_sched_time:254772905973078
app_id: 0, app_name: TX_api-aarch64, task_id: 38, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772906685818, ref_stop_time: 254772906720768, actual_exe_time: 34950, task_app_start_time:254772814643463, task_sched_time:254772906678498
app_id: 0, app_name: TX_api-aarch64, task_id: 39, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772907512168, ref_stop_time: 254772907549878, actual_exe_time: 37710, task_app_start_time:254772814643463, task_sched_time:254772907505508
app_id: 0, app_name: TX_api-aarch64, task_id: 40, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254772927609321, ref_stop_time: 254772927631551, actual_exe_time: 22230, task_app_start_time:254772814643463, task_sched_time:254772927605001
app_id: 0, app_name: TX_api-aarch64, task_id: 41, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254772928431261, ref_stop_time: 254772928456731, actual_exe_time: 25470, task_app_start_time:254772814643463, task_sched_time:254772928427121
app_id: 0, app_name: TX_api-aarch64, task_id: 42, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772929322982, ref_stop_time: 254772929344762, actual_exe_time: 21780, task_app_start_time:254772814643463, task_sched_time:254772929313622
app_id: 0, app_name: TX_api-aarch64, task_id: 43, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772929726332, ref_stop_time: 254772929761582, actual_exe_time: 35250, task_app_start_time:254772814643463, task_sched_time:254772929718202
app_id: 0, app_name: TX_api-aarch64, task_id: 44, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772930919942, ref_stop_time: 254772930957472, actual_exe_time: 37530, task_app_start_time:254772814643463, task_sched_time:254772930911542
app_id: 0, app_name: TX_api-aarch64, task_id: 45, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254772931883512, ref_stop_time: 254772931904872, actual_exe_time: 21360, task_app_start_time:254772814643463, task_sched_time:254772931874662
app_id: 0, app_name: TX_api-aarch64, task_id: 46, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254772932742112, ref_stop_time: 254772932766742, actual_exe_time: 24630, task_app_start_time:254772814643463, task_sched_time:254772932736802
app_id: 0, app_name: TX_api-aarch64, task_id: 47, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772933447262, ref_stop_time: 254772933468712, actual_exe_time: 21450, task_app_start_time:254772814643463, task_sched_time:254772933437512
app_id: 0, app_name: TX_api-aarch64, task_id: 48, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772934278682, ref_stop_time: 254772934314052, actual_exe_time: 35370, task_app_start_time:254772814643463, task_sched_time:254772934274842
app_id: 0, app_name: TX_api-aarch64, task_id: 49, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772935005252, ref_stop_time: 254772935043532, actual_exe_time: 38280, task_app_start_time:254772814643463, task_sched_time:254772934997272
app_id: 0, app_name: TX_api-aarch64, task_id: 50, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254772955483616, ref_stop_time: 254772955506386, actual_exe_time: 22770, task_app_start_time:254772814643463, task_sched_time:254772955480016
app_id: 0, app_name: TX_api-aarch64, task_id: 51, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254772956278466, ref_stop_time: 254772956303846, actual_exe_time: 25380, task_app_start_time:254772814643463, task_sched_time:254772956272316
app_id: 0, app_name: TX_api-aarch64, task_id: 52, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772956791976, ref_stop_time: 254772956813696, actual_exe_time: 21720, task_app_start_time:254772814643463, task_sched_time:254772956786546
app_id: 0, app_name: TX_api-aarch64, task_id: 53, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772957971756, ref_stop_time: 254772958006406, actual_exe_time: 34650, task_app_start_time:254772814643463, task_sched_time:254772957960236
app_id: 0, app_name: TX_api-aarch64, task_id: 54, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772958790846, ref_stop_time: 254772958829066, actual_exe_time: 38220, task_app_start_time:254772814643463, task_sched_time:254772958785566
app_id: 0, app_name: TX_api-aarch64, task_id: 55, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254772959756816, ref_stop_time: 254772959778026, actual_exe_time: 21210, task_app_start_time:254772814643463, task_sched_time:254772959749526
app_id: 0, app_name: TX_api-aarch64, task_id: 56, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254772960650517, ref_stop_time: 254772960675927, actual_exe_time: 25410, task_app_start_time:254772814643463, task_sched_time:254772960647607
app_id: 0, app_name: TX_api-aarch64, task_id: 57, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254772961351947, ref_stop_time: 254772961373097, actual_exe_time: 21150, task_app_start_time:254772814643463, task_sched_time:254772961343907
app_id: 0, app_name: TX_api-aarch64, task_id: 58, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254772962163627, ref_stop_time: 254772962199147, actual_exe_time: 35520, task_app_start_time:254772814643463, task_sched_time:254772962157447
app_id: 0, app_name: TX_api-aarch64, task_id: 59, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254772962895657, ref_stop_time: 254772962934567, actual_exe_time: 38910, task_app_start_time:254772814643463, task_sched_time:254772962888277
