app_id: 0, app_name: pulse_doppler_api-x86, task_id: 26, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599280942852, ref_stop_time: 41599281059162, actual_exe_time: 116310, task_app_start_time:41599252286092, task_sched_time:41599280940855
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 27, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599281428902, ref_stop_time: 41599281847843, actual_exe_time: 418941, task_app_start_time:41599252286092, task_sched_time:41599281328480
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 28, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599281974286, ref_stop_time: 41599282113820, actual_exe_time: 139534, task_app_start_time:41599252286092, task_sched_time:41599281951366
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 29, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599282185362, ref_stop_time: 41599282230273, actual_exe_time: 44911, task_app_start_time:41599252286092, task_sched_time:41599282184131
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599282439735, ref_stop_time: 41599282459549, actual_exe_time: 19814, task_app_start_time:41599252286092, task_sched_time:41599282437750
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599282525370, ref_stop_time: 41599283396870, actual_exe_time: 871500, task_app_start_time:41599252286092, task_sched_time:41599282524180
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599286631041, ref_stop_time: 41599286792110, actual_exe_time: 161069, task_app_start_time:41599252286092, task_sched_time:41599286617707
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 33, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599287090878, ref_stop_time: 41599287128786, actual_exe_time: 37908, task_app_start_time:41599252286092, task_sched_time:41599287089427
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 34, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599287269575, ref_stop_time: 41599287438267, actual_exe_time: 168692, task_app_start_time:41599252286092, task_sched_time:41599287267581
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 35, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599287595432, ref_stop_time: 41599287734328, actual_exe_time: 138896, task_app_start_time:41599252286092, task_sched_time:41599287552447
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599288019859, ref_stop_time: 41599288040426, actual_exe_time: 20567, task_app_start_time:41599252286092, task_sched_time:41599288018482
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599288113353, ref_stop_time: 41599288154933, actual_exe_time: 41580, task_app_start_time:41599252286092, task_sched_time:41599288112024
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 38, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599288410003, ref_stop_time: 41599288432185, actual_exe_time: 22182, task_app_start_time:41599252286092, task_sched_time:41599288228002
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 39, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599288533912, ref_stop_time: 41599288552963, actual_exe_time: 19051, task_app_start_time:41599252286092, task_sched_time:41599288532786
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 40, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599289476881, ref_stop_time: 41599289532963, actual_exe_time: 56082, task_app_start_time:41599252286092, task_sched_time:41599289468372
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 41, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599289616280, ref_stop_time: 41599290932036, actual_exe_time: 1315756, task_app_start_time:41599252286092, task_sched_time:41599289614455
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 42, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599291127820, ref_stop_time: 41599291146904, actual_exe_time: 19084, task_app_start_time:41599252286092, task_sched_time:41599291121188
