app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 26, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254136728225636, ref_stop_time: 254136728250296, actual_exe_time: 24660, task_app_start_time:254136706667543, task_sched_time:254136728221256
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 27, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254136729274436, ref_stop_time: 254136729294986, actual_exe_time: 20550, task_app_start_time:254136706667543, task_sched_time:254136729266786
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 28, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254136729963086, ref_stop_time: 254136729988196, actual_exe_time: 25110, task_app_start_time:254136706667543, task_sched_time:254136729960206
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 29, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254136730471466, ref_stop_time: 254136730509476, actual_exe_time: 38010, task_app_start_time:254136706667543, task_sched_time:254136730464536
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254136731881947, ref_stop_time: 254136731902317, actual_exe_time: 20370, task_app_start_time:254136706667543, task_sched_time:254136731868567
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254136732260547, ref_stop_time: 254136732284247, actual_exe_time: 23700, task_app_start_time:254136706667543, task_sched_time:254136732254757
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254136732828507, ref_stop_time: 254136732849657, actual_exe_time: 21150, task_app_start_time:254136706667543, task_sched_time:254136732822027
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 33, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254136733760967, ref_stop_time: 254136733785717, actual_exe_time: 24750, task_app_start_time:254136706667543, task_sched_time:254136733748397
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 34, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254136734502747, ref_stop_time: 254136734530587, actual_exe_time: 27840, task_app_start_time:254136706667543, task_sched_time:254136734498967
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 35, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254136735285537, ref_stop_time: 254136735307407, actual_exe_time: 21870, task_app_start_time:254136706667543, task_sched_time:254136735277197
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 36, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 254136736328937, ref_stop_time: 254136736352937, actual_exe_time: 24000, task_app_start_time:254136706667543, task_sched_time:254136736325157
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 37, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 254136736784457, ref_stop_time: 254136736804707, actual_exe_time: 20250, task_app_start_time:254136706667543, task_sched_time:254136736779327
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 38, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 254136737160688, ref_stop_time: 254136737196118, actual_exe_time: 35430, task_app_start_time:254136706667543, task_sched_time:254136737157838
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 39, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 254136738206728, ref_stop_time: 254136738235438, actual_exe_time: 28710, task_app_start_time:254136706667543, task_sched_time:254136738199978
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 40, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 254136739167718, ref_stop_time: 254136739189168, actual_exe_time: 21450, task_app_start_time:254136706667543, task_sched_time:254136739163608
