app_id: 0, app_name: SAR_api-aarch64, task_id: 26, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160809559299, ref_stop_time: 253160809633669, actual_exe_time: 74370, task_app_start_time:253160102210455, task_sched_time:253160809554619
app_id: 0, app_name: SAR_api-aarch64, task_id: 27, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160809955119, ref_stop_time: 253160810060899, actual_exe_time: 105780, task_app_start_time:253160102210455, task_sched_time:253160809950799
app_id: 0, app_name: SAR_api-aarch64, task_id: 28, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160810209219, ref_stop_time: 253160810277859, actual_exe_time: 68640, task_app_start_time:253160102210455, task_sched_time:253160810200519
app_id: 0, app_name: SAR_api-aarch64, task_id: 29, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160810833579, ref_stop_time: 253160810952979, actual_exe_time: 119400, task_app_start_time:253160102210455, task_sched_time:253160810830219
app_id: 0, app_name: SAR_api-aarch64, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160811328489, ref_stop_time: 253160811419569, actual_exe_time: 91080, task_app_start_time:253160102210455, task_sched_time:253160811325369
app_id: 0, app_name: SAR_api-aarch64, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160811747559, ref_stop_time: 253160811847219, actual_exe_time: 99660, task_app_start_time:253160102210455, task_sched_time:253160811738979
app_id: 0, app_name: SAR_api-aarch64, task_id: 32, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160812258069, ref_stop_time: 253160812332290, actual_exe_time: 74221, task_app_start_time:253160102210455, task_sched_time:253160812240789
app_id: 0, app_name: SAR_api-aarch64, task_id: 33, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160812667150, ref_stop_time: 253160812771790, actual_exe_time: 104640, task_app_start_time:253160102210455, task_sched_time:253160812655750
app_id: 0, app_name: SAR_api-aarch64, task_id: 34, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160813094650, ref_stop_time: 253160813164790, actual_exe_time: 70140, task_app_start_time:253160102210455, task_sched_time:253160813088980
app_id: 0, app_name: SAR_api-aarch64, task_id: 35, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160813559710, ref_stop_time: 253160813676590, actual_exe_time: 116880, task_app_start_time:253160102210455, task_sched_time:253160813546420
