app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382045013551, ref_stop_time: 2435382045123531, actual_exe_time: 109980, task_app_start_time:2435382043688751, task_sched_time:2435382045007611
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382046347951, ref_stop_time: 2435382046406481, actual_exe_time: 58530, task_app_start_time:2435382043688751, task_sched_time:2435382046344891
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382046603581, ref_stop_time: 2435382046704381, actual_exe_time: 100800, task_app_start_time:2435382043688751, task_sched_time:2435382046601181
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382047081001, ref_stop_time: 2435382047140071, actual_exe_time: 59070, task_app_start_time:2435382045997341, task_sched_time:2435382047078151
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382048193461, ref_stop_time: 2435382048251571, actual_exe_time: 58110, task_app_start_time:2435382045997341, task_sched_time:2435382048191061
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382049270551, ref_stop_time: 2435382049370091, actual_exe_time: 99540, task_app_start_time:2435382045997341, task_sched_time:2435382048441381
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382049375011, ref_stop_time: 2435382049438281, actual_exe_time: 63270, task_app_start_time:2435382048314571, task_sched_time:2435382049260531
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382050381632, ref_stop_time: 2435382050442082, actual_exe_time: 60450, task_app_start_time:2435382048314571, task_sched_time:2435382050373172
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382050619202, ref_stop_time: 2435382050719192, actual_exe_time: 99990, task_app_start_time:2435382048314571, task_sched_time:2435382050612692
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382051541042, ref_stop_time: 2435382051602242, actual_exe_time: 61200, task_app_start_time:2435382050628742, task_sched_time:2435382051537772
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382052517842, ref_stop_time: 2435382052576462, actual_exe_time: 58620, task_app_start_time:2435382050628742, task_sched_time:2435382052515112
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382052751362, ref_stop_time: 2435382052848202, actual_exe_time: 96840, task_app_start_time:2435382050628742, task_sched_time:2435382052748992
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382053822122, ref_stop_time: 2435382053882722, actual_exe_time: 60600, task_app_start_time:2435382052942882, task_sched_time:2435382053819212
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382054769972, ref_stop_time: 2435382054827242, actual_exe_time: 57270, task_app_start_time:2435382052942882, task_sched_time:2435382054766792
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435382055542742, ref_stop_time: 2435382055638802, actual_exe_time: 96060, task_app_start_time:2435382052942882, task_sched_time:2435382055538902
