app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306000093873, ref_stop_time: 2435306000204963, actual_exe_time: 111090, task_app_start_time:2435305998820432, task_sched_time:2435306000078243
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306001637283, ref_stop_time: 2435306001698783, actual_exe_time: 61500, task_app_start_time:2435306000559533, task_sched_time:2435306001633503
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306004046463, ref_stop_time: 2435306004107003, actual_exe_time: 60540, task_app_start_time:2435305998820432, task_sched_time:2435306002546793
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306004148043, ref_stop_time: 2435306004211253, actual_exe_time: 63210, task_app_start_time:2435306002319453, task_sched_time:2435306003843093
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306004926333, ref_stop_time: 2435306004986093, actual_exe_time: 59760, task_app_start_time:2435306000559533, task_sched_time:2435306004632063
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306005074893, ref_stop_time: 2435306005134533, actual_exe_time: 59640, task_app_start_time:2435306004032393, task_sched_time:2435306005072403
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306005280273, ref_stop_time: 2435306005382634, actual_exe_time: 102361, task_app_start_time:2435305998820432, task_sched_time:2435306005267103
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435306005975524, ref_stop_time: 2435306006088654, actual_exe_time: 113130, task_app_start_time:2435306000559533, task_sched_time:2435306005317774
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306006716794, ref_stop_time: 2435306006775414, actual_exe_time: 58620, task_app_start_time:2435306005765524, task_sched_time:2435306006713584
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306007251514, ref_stop_time: 2435306007312504, actual_exe_time: 60990, task_app_start_time:2435306002319453, task_sched_time:2435306007233094
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306007524544, ref_stop_time: 2435306007584934, actual_exe_time: 60390, task_app_start_time:2435306004032393, task_sched_time:2435306007520404
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306007838434, ref_stop_time: 2435306007938514, actual_exe_time: 100080, task_app_start_time:2435306002319453, task_sched_time:2435306007710514
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306008183434, ref_stop_time: 2435306008280904, actual_exe_time: 97470, task_app_start_time:2435306004032393, task_sched_time:2435306007852984
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306009653794, ref_stop_time: 2435306009712894, actual_exe_time: 59100, task_app_start_time:2435306005765524, task_sched_time:2435306009640264
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435306010019944, ref_stop_time: 2435306010117384, actual_exe_time: 97440, task_app_start_time:2435306005765524, task_sched_time:2435306010014124
