app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733030338113, ref_stop_time: 2434733030448423, actual_exe_time: 110310, task_app_start_time:2434733029040793, task_sched_time:2434733030322213
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733032458004, ref_stop_time: 2434733032532104, actual_exe_time: 74100, task_app_start_time:2434733031353403, task_sched_time:2434733032454674
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733032822084, ref_stop_time: 2434733033075134, actual_exe_time: 253050, task_app_start_time:2434733029040793, task_sched_time:2434733032810054
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733033170414, ref_stop_time: 2434733033275084, actual_exe_time: 104670, task_app_start_time:2434733029040793, task_sched_time:2434733033162344
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733034685864, ref_stop_time: 2434733034748534, actual_exe_time: 62670, task_app_start_time:2434733033743654, task_sched_time:2434733034682534
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733034701044, ref_stop_time: 2434733034770014, actual_exe_time: 68970, task_app_start_time:2434733031353403, task_sched_time:2434733034561004
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733035036654, ref_stop_time: 2434733035133614, actual_exe_time: 96960, task_app_start_time:2434733031353403, task_sched_time:2434733035027834
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733036979964, ref_stop_time: 2434733037040264, actual_exe_time: 60300, task_app_start_time:2434733035999984, task_sched_time:2434733036976094
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733037440734, ref_stop_time: 2434733037501214, actual_exe_time: 60480, task_app_start_time:2434733033743654, task_sched_time:2434733037433174
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733037798484, ref_stop_time: 2434733037897454, actual_exe_time: 98970, task_app_start_time:2434733033743654, task_sched_time:2434733037795814
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733038797155, ref_stop_time: 2434733038856705, actual_exe_time: 59550, task_app_start_time:2434733035999984, task_sched_time:2434733038791995
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733039105105, ref_stop_time: 2434733039205035, actual_exe_time: 99930, task_app_start_time:2434733035999984, task_sched_time:2434733039092865
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733039531615, ref_stop_time: 2434733039596475, actual_exe_time: 64860, task_app_start_time:2434733038296664, task_sched_time:2434733039519135
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434733041335755, ref_stop_time: 2434733041394795, actual_exe_time: 59040, task_app_start_time:2434733038296664, task_sched_time:2434733041326635
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434733041650095, ref_stop_time: 2434733041747925, actual_exe_time: 97830, task_app_start_time:2434733038296664, task_sched_time:2434733041639925
