app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434996735083382, ref_stop_time: 2434996735308892, actual_exe_time: 225510, task_app_start_time:2434996733764702, task_sched_time:2434996735072072
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434996736477902, ref_stop_time: 2434996736618602, actual_exe_time: 140700, task_app_start_time:2434996735429972, task_sched_time:2434996736471662
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434996736534512, ref_stop_time: 2434996736669422, actual_exe_time: 134910, task_app_start_time:2434996733764702, task_sched_time:2434996736526262
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434996737114082, ref_stop_time: 2434996737201682, actual_exe_time: 87600, task_app_start_time:2434996733764702, task_sched_time:2434996736860042
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434996738263532, ref_stop_time: 2434996738346242, actual_exe_time: 82710, task_app_start_time:2434996737167602, task_sched_time:2434996738248772
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434996738596532, ref_stop_time: 2434996738676692, actual_exe_time: 80160, task_app_start_time:2434996735429972, task_sched_time:2434996738592512
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434996738988722, ref_stop_time: 2434996739074133, actual_exe_time: 85411, task_app_start_time:2434996735429972, task_sched_time:2434996738980412
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434996739840363, ref_stop_time: 2434996739919353, actual_exe_time: 78990, task_app_start_time:2434996738903942, task_sched_time:2434996739833553
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434996740318683, ref_stop_time: 2434996740399113, actual_exe_time: 80430, task_app_start_time:2434996737167602, task_sched_time:2434996740315023
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434996740845543, ref_stop_time: 2434996740924923, actual_exe_time: 79380, task_app_start_time:2434996738903942, task_sched_time:2434996740839723
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434996741104863, ref_stop_time: 2434996741190213, actual_exe_time: 85350, task_app_start_time:2434996738903942, task_sched_time:2434996741096313
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434996741560533, ref_stop_time: 2434996741644743, actual_exe_time: 84210, task_app_start_time:2434996737167602, task_sched_time:2434996740708473
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434996741740023, ref_stop_time: 2434996741821353, actual_exe_time: 81330, task_app_start_time:2434996740638633, task_sched_time:2434996741544813
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2434996743580493, ref_stop_time: 2434996743660233, actual_exe_time: 79740, task_app_start_time:2434996740638633, task_sched_time:2434996743573773
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2434996743898043, ref_stop_time: 2434996743981623, actual_exe_time: 83580, task_app_start_time:2434996740638633, task_sched_time:2434996743894893
