app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859763771719, ref_stop_time: 2434859763885719, actual_exe_time: 114000, task_app_start_time:2434859762505569, task_sched_time:2434859763763769
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859765263229, ref_stop_time: 2434859765348849, actual_exe_time: 85620, task_app_start_time:2434859764167389, task_sched_time:2434859765256539
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434859765357339, ref_stop_time: 2434859765502869, actual_exe_time: 145530, task_app_start_time:2434859762505569, task_sched_time:2434859765304869
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859767035119, ref_stop_time: 2434859767098149, actual_exe_time: 63030, task_app_start_time:2434859764167389, task_sched_time:2434859766431039
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859767171769, ref_stop_time: 2434859767276649, actual_exe_time: 104880, task_app_start_time:2434859762505569, task_sched_time:2434859766581999
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859767396949, ref_stop_time: 2434859767459379, actual_exe_time: 62430, task_app_start_time:2434859765900939, task_sched_time:2434859767019549
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859767463789, ref_stop_time: 2434859767564319, actual_exe_time: 100530, task_app_start_time:2434859764167389, task_sched_time:2434859767303079
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859768837820, ref_stop_time: 2434859768896740, actual_exe_time: 58920, task_app_start_time:2434859767661279, task_sched_time:2434859768828040
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859769530310, ref_stop_time: 2434859769592140, actual_exe_time: 61830, task_app_start_time:2434859765900939, task_sched_time:2434859769517200
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434859769854700, ref_stop_time: 2434859769948900, actual_exe_time: 94200, task_app_start_time:2434859765900939, task_sched_time:2434859769846720
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859769957180, ref_stop_time: 2434859770016220, actual_exe_time: 59040, task_app_start_time:2434859767661279, task_sched_time:2434859769798360
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2434859770331610, ref_stop_time: 2434859770411650, actual_exe_time: 80040, task_app_start_time:2434859769369240, task_sched_time:2434859770264590
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859770420260, ref_stop_time: 2434859770517070, actual_exe_time: 96810, task_app_start_time:2434859767661279, task_sched_time:2434859770189770
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859771311830, ref_stop_time: 2434859771370510, actual_exe_time: 58680, task_app_start_time:2434859769369240, task_sched_time:2434859771308830
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434859771553120, ref_stop_time: 2434859771649900, actual_exe_time: 96780, task_app_start_time:2434859769369240, task_sched_time:2434859771543940
