app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630546192183, ref_stop_time: 2435630546302853, actual_exe_time: 110670, task_app_start_time:2435630544903142, task_sched_time:2435630546179373
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630547523613, ref_stop_time: 2435630547587453, actual_exe_time: 63840, task_app_start_time:2435630544903142, task_sched_time:2435630547516473
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630547786713, ref_stop_time: 2435630547891293, actual_exe_time: 104580, task_app_start_time:2435630544903142, task_sched_time:2435630547780143
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630548295843, ref_stop_time: 2435630548355783, actual_exe_time: 59940, task_app_start_time:2435630547219713, task_sched_time:2435630548293053
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630550384623, ref_stop_time: 2435630550442673, actual_exe_time: 58050, task_app_start_time:2435630547219713, task_sched_time:2435630550382013
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435630550501293, ref_stop_time: 2435630550575423, actual_exe_time: 74130, task_app_start_time:2435630549540693, task_sched_time:2435630550494693
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630550703313, ref_stop_time: 2435630550799133, actual_exe_time: 95820, task_app_start_time:2435630547219713, task_sched_time:2435630550700883
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630552756364, ref_stop_time: 2435630552816724, actual_exe_time: 60360, task_app_start_time:2435630549540693, task_sched_time:2435630552381544
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630552823984, ref_stop_time: 2435630552887674, actual_exe_time: 63690, task_app_start_time:2435630551847424, task_sched_time:2435630552747154
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630553054624, ref_stop_time: 2435630553151014, actual_exe_time: 96390, task_app_start_time:2435630549540693, task_sched_time:2435630553050814
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630553783834, ref_stop_time: 2435630553846174, actual_exe_time: 62340, task_app_start_time:2435630551847424, task_sched_time:2435630553778044
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630554023594, ref_stop_time: 2435630554123014, actual_exe_time: 99420, task_app_start_time:2435630551847424, task_sched_time:2435630554017174
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630555040714, ref_stop_time: 2435630555099094, actual_exe_time: 58380, task_app_start_time:2435630554159524, task_sched_time:2435630555037204
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630556744594, ref_stop_time: 2435630556803814, actual_exe_time: 59220, task_app_start_time:2435630554159524, task_sched_time:2435630556740874
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435630557022784, ref_stop_time: 2435630557119324, actual_exe_time: 96540, task_app_start_time:2435630554159524, task_sched_time:2435630557020114
