app_id: 0, app_name: TX_api-x86, task_id: 27, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002713033223, ref_stop_time: 98002713040747, actual_exe_time: 7524, task_app_start_time:98002692625431, task_sched_time:98002713031686
app_id: 0, app_name: TX_api-x86, task_id: 28, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002713170874, ref_stop_time: 98002713178650, actual_exe_time: 7776, task_app_start_time:98002692625431, task_sched_time:98002713168651
app_id: 0, app_name: TX_api-x86, task_id: 29, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002713374200, ref_stop_time: 98002713383431, actual_exe_time: 9231, task_app_start_time:98002692625431, task_sched_time:98002713307477
app_id: 0, app_name: TX_api-x86, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002716009595, ref_stop_time: 98002716018020, actual_exe_time: 8425, task_app_start_time:98002692625431, task_sched_time:98002716008184
app_id: 0, app_name: TX_api-x86, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002718695404, ref_stop_time: 98002718704966, actual_exe_time: 9562, task_app_start_time:98002692625431, task_sched_time:98002718693259
app_id: 0, app_name: TX_api-x86, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002718887130, ref_stop_time: 98002718896184, actual_exe_time: 9054, task_app_start_time:98002692625431, task_sched_time:98002718843147
app_id: 0, app_name: TX_api-x86, task_id: 33, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002718985480, ref_stop_time: 98002718993575, actual_exe_time: 8095, task_app_start_time:98002692625431, task_sched_time:98002718983902
app_id: 0, app_name: TX_api-x86, task_id: 34, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002719133143, ref_stop_time: 98002719140673, actual_exe_time: 7530, task_app_start_time:98002692625431, task_sched_time:98002719132039
app_id: 0, app_name: TX_api-x86, task_id: 35, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002719320640, ref_stop_time: 98002719328979, actual_exe_time: 8339, task_app_start_time:98002692625431, task_sched_time:98002719272231
app_id: 0, app_name: TX_api-x86, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002719412088, ref_stop_time: 98002719419805, actual_exe_time: 7717, task_app_start_time:98002692625431, task_sched_time:98002719410554
app_id: 0, app_name: TX_api-x86, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002719552887, ref_stop_time: 98002719560442, actual_exe_time: 7555, task_app_start_time:98002692625431, task_sched_time:98002719551281
app_id: 0, app_name: TX_api-x86, task_id: 38, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002719725064, ref_stop_time: 98002719733464, actual_exe_time: 8400, task_app_start_time:98002692625431, task_sched_time:98002719682479
app_id: 0, app_name: TX_api-x86, task_id: 39, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002719827557, ref_stop_time: 98002719834783, actual_exe_time: 7226, task_app_start_time:98002692625431, task_sched_time:98002719826045
