app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435179289336971, ref_stop_time: 2435179289491441, actual_exe_time: 154470, task_app_start_time:2435179288040551, task_sched_time:2435179289322031
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435179289845291, ref_stop_time: 2435179289979391, actual_exe_time: 134100, task_app_start_time:2435179288755721, task_sched_time:2435179289830741
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435179291638121, ref_stop_time: 2435179291795621, actual_exe_time: 157500, task_app_start_time:2435179290577051, task_sched_time:2435179291628971
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435179291893961, ref_stop_time: 2435179291976641, actual_exe_time: 82680, task_app_start_time:2435179288040551, task_sched_time:2435179291885231
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435179291975861, ref_stop_time: 2435179292058091, actual_exe_time: 82230, task_app_start_time:2435179288755721, task_sched_time:2435179291967911
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435179292395711, ref_stop_time: 2435179292484571, actual_exe_time: 88860, task_app_start_time:2435179288040551, task_sched_time:2435179292329171
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435179293293461, ref_stop_time: 2435179293373591, actual_exe_time: 80130, task_app_start_time:2435179292227741, task_sched_time:2435179293291031
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435179293380251, ref_stop_time: 2435179293463981, actual_exe_time: 83730, task_app_start_time:2435179288755721, task_sched_time:2435179292333341
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435179293747811, ref_stop_time: 2435179293831452, actual_exe_time: 83641, task_app_start_time:2435179290577051, task_sched_time:2435179293740521
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435179294182932, ref_stop_time: 2435179294289552, actual_exe_time: 106620, task_app_start_time:2435179290577051, task_sched_time:2435179294087622
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435179294907852, ref_stop_time: 2435179294991582, actual_exe_time: 83730, task_app_start_time:2435179293979052, task_sched_time:2435179294898342
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435179295607752, ref_stop_time: 2435179295687912, actual_exe_time: 80160, task_app_start_time:2435179292227741, task_sched_time:2435179295603102
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435179295989562, ref_stop_time: 2435179296076172, actual_exe_time: 86610, task_app_start_time:2435179292227741, task_sched_time:2435179295983172
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435179296761912, ref_stop_time: 2435179296843332, actual_exe_time: 81420, task_app_start_time:2435179293979052, task_sched_time:2435179296755072
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435179297078562, ref_stop_time: 2435179297160492, actual_exe_time: 81930, task_app_start_time:2435179293979052, task_sched_time:2435179297071632
