app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435174212426434, ref_stop_time: 2435174212595454, actual_exe_time: 169020, task_app_start_time:2435174211129474, task_sched_time:2435174212405374
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435174213941134, ref_stop_time: 2435174214099294, actual_exe_time: 158160, task_app_start_time:2435174212868964, task_sched_time:2435174213922864
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435174215643574, ref_stop_time: 2435174215724514, actual_exe_time: 80940, task_app_start_time:2435174214601284, task_sched_time:2435174215636884
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435174215648104, ref_stop_time: 2435174215826124, actual_exe_time: 178020, task_app_start_time:2435174211129474, task_sched_time:2435174214980424
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435174216102334, ref_stop_time: 2435174216189124, actual_exe_time: 86790, task_app_start_time:2435174211129474, task_sched_time:2435174216099514
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435174216107614, ref_stop_time: 2435174216190264, actual_exe_time: 82650, task_app_start_time:2435174212868964, task_sched_time:2435174216089944
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435174217376975, ref_stop_time: 2435174217457135, actual_exe_time: 80160, task_app_start_time:2435174216338404, task_sched_time:2435174217369505
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435174217620725, ref_stop_time: 2435174217705715, actual_exe_time: 84990, task_app_start_time:2435174212868964, task_sched_time:2435174216446014
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435174217683395, ref_stop_time: 2435174217765925, actual_exe_time: 82530, task_app_start_time:2435174214601284, task_sched_time:2435174217668035
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435174218024135, ref_stop_time: 2435174218105795, actual_exe_time: 81660, task_app_start_time:2435174214601284, task_sched_time:2435174218020715
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435174219048605, ref_stop_time: 2435174219130445, actual_exe_time: 81840, task_app_start_time:2435174218104325, task_sched_time:2435174219033935
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435174219612515, ref_stop_time: 2435174219692285, actual_exe_time: 79770, task_app_start_time:2435174216338404, task_sched_time:2435174219604895
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435174219973715, ref_stop_time: 2435174220059305, actual_exe_time: 85590, task_app_start_time:2435174216338404, task_sched_time:2435174219960425
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2435174220923665, ref_stop_time: 2435174221005145, actual_exe_time: 81480, task_app_start_time:2435174218104325, task_sched_time:2435174220910465
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2435174221238245, ref_stop_time: 2435174221320205, actual_exe_time: 81960, task_app_start_time:2435174218104325, task_sched_time:2435174221230865
