app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138711521420, ref_stop_time: 2435138711693591, actual_exe_time: 172171, task_app_start_time:2435138709266020, task_sched_time:2435138711514610
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138712093101, ref_stop_time: 2435138712172121, actual_exe_time: 79020, task_app_start_time:2435138711003560, task_sched_time:2435138712086141
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138712264281, ref_stop_time: 2435138712342041, actual_exe_time: 77760, task_app_start_time:2435138709266020, task_sched_time:2435138712225611
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138712540581, ref_stop_time: 2435138712624641, actual_exe_time: 84060, task_app_start_time:2435138709266020, task_sched_time:2435138712533021
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138713211771, ref_stop_time: 2435138713291151, actual_exe_time: 79380, task_app_start_time:2435138711003560, task_sched_time:2435138713200581
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138714392991, ref_stop_time: 2435138714476931, actual_exe_time: 83940, task_app_start_time:2435138711003560, task_sched_time:2435138713481831
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138714575481, ref_stop_time: 2435138714657081, actual_exe_time: 81600, task_app_start_time:2435138712736871, task_sched_time:2435138714293091
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138715398681, ref_stop_time: 2435138715477191, actual_exe_time: 78510, task_app_start_time:2435138714473901, task_sched_time:2435138715396401
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138716397441, ref_stop_time: 2435138716475111, actual_exe_time: 77670, task_app_start_time:2435138714473901, task_sched_time:2435138716394111
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138716702271, ref_stop_time: 2435138716785251, actual_exe_time: 82980, task_app_start_time:2435138714473901, task_sched_time:2435138716646471
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138716882121, ref_stop_time: 2435138716962671, actual_exe_time: 80550, task_app_start_time:2435138712736871, task_sched_time:2435138716670501
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138717222501, ref_stop_time: 2435138717301911, actual_exe_time: 79410, task_app_start_time:2435138716205951, task_sched_time:2435138717096381
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138717403941, ref_stop_time: 2435138717487911, actual_exe_time: 83970, task_app_start_time:2435138712736871, task_sched_time:2435138717213861
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138718208452, ref_stop_time: 2435138718288132, actual_exe_time: 79680, task_app_start_time:2435138716205951, task_sched_time:2435138718205632
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435138718476772, ref_stop_time: 2435138718557982, actual_exe_time: 81210, task_app_start_time:2435138716205951, task_sched_time:2435138718470802
