app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372917814569, ref_stop_time: 2434372917924969, actual_exe_time: 110400, task_app_start_time:2434372916538219, task_sched_time:2434372917803709
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372919920990, ref_stop_time: 2434372919981200, actual_exe_time: 60210, task_app_start_time:2434372916538219, task_sched_time:2434372919135530
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372920055030, ref_stop_time: 2434372920118720, actual_exe_time: 63690, task_app_start_time:2434372918852840, task_sched_time:2434372919913940
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372920177130, ref_stop_time: 2434372920278350, actual_exe_time: 101220, task_app_start_time:2434372916538219, task_sched_time:2434372920174940
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372922114140, ref_stop_time: 2434372922180680, actual_exe_time: 66540, task_app_start_time:2434372918852840, task_sched_time:2434372922107660
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434372922138710, ref_stop_time: 2434372922217730, actual_exe_time: 79020, task_app_start_time:2434372921177900, task_sched_time:2434372922129650
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372922453800, ref_stop_time: 2434372922554240, actual_exe_time: 100440, task_app_start_time:2434372918852840, task_sched_time:2434372922441320
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372924058740, ref_stop_time: 2434372924118800, actual_exe_time: 60060, task_app_start_time:2434372921177900, task_sched_time:2434372924052410
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372924365130, ref_stop_time: 2434372924462180, actual_exe_time: 97050, task_app_start_time:2434372921177900, task_sched_time:2434372924357000
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2434372924417930, ref_stop_time: 2434372924482730, actual_exe_time: 64800, task_app_start_time:2434372923487540, task_sched_time:2434372924413370
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372925404931, ref_stop_time: 2434372925464031, actual_exe_time: 59100, task_app_start_time:2434372923487540, task_sched_time:2434372925397341
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372925644421, ref_stop_time: 2434372925740991, actual_exe_time: 96570, task_app_start_time:2434372923487540, task_sched_time:2434372925637431
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372926696731, ref_stop_time: 2434372926759731, actual_exe_time: 63000, task_app_start_time:2434372925799971, task_sched_time:2434372926688301
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372928470391, ref_stop_time: 2434372928532821, actual_exe_time: 62430, task_app_start_time:2434372925799971, task_sched_time:2434372928465021
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2434372928772461, ref_stop_time: 2434372928871551, actual_exe_time: 99090, task_app_start_time:2434372925799971, task_sched_time:2434372928761301
