app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848678786377, ref_stop_time: 2435848678897977, actual_exe_time: 111600, task_app_start_time:2435848677525147, task_sched_time:2435848678776447
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848680935608, ref_stop_time: 2435848681008748, actual_exe_time: 73140, task_app_start_time:2435848679844027, task_sched_time:2435848680931048
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848681247548, ref_stop_time: 2435848681306018, actual_exe_time: 58470, task_app_start_time:2435848677525147, task_sched_time:2435848681242178
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848681578628, ref_stop_time: 2435848681682698, actual_exe_time: 104070, task_app_start_time:2435848677525147, task_sched_time:2435848681572358
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848683133528, ref_stop_time: 2435848683194368, actual_exe_time: 60840, task_app_start_time:2435848682158768, task_sched_time:2435848683113908
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848683987238, ref_stop_time: 2435848684046818, actual_exe_time: 59580, task_app_start_time:2435848679844027, task_sched_time:2435848683984448
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848684396048, ref_stop_time: 2435848684493218, actual_exe_time: 97170, task_app_start_time:2435848679844027, task_sched_time:2435848684385788
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848685565208, ref_stop_time: 2435848685626858, actual_exe_time: 61650, task_app_start_time:2435848684473418, task_sched_time:2435848685549698
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848685935318, ref_stop_time: 2435848685996638, actual_exe_time: 61320, task_app_start_time:2435848682158768, task_sched_time:2435848685930698
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848686292229, ref_stop_time: 2435848686390299, actual_exe_time: 98070, task_app_start_time:2435848682158768, task_sched_time:2435848686288029
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848687673159, ref_stop_time: 2435848687738739, actual_exe_time: 65580, task_app_start_time:2435848684473418, task_sched_time:2435848687664339
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848687680689, ref_stop_time: 2435848687751309, actual_exe_time: 70620, task_app_start_time:2435848686788279, task_sched_time:2435848687675409
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848688007269, ref_stop_time: 2435848688103599, actual_exe_time: 96330, task_app_start_time:2435848684473418, task_sched_time:2435848687999319
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435848690286369, ref_stop_time: 2435848690345799, actual_exe_time: 59430, task_app_start_time:2435848686788279, task_sched_time:2435848690280639
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435848690646789, ref_stop_time: 2435848690743449, actual_exe_time: 96660, task_app_start_time:2435848686788279, task_sched_time:2435848690639859
