app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435802996512756, ref_stop_time: 2435802996679856, actual_exe_time: 167100, task_app_start_time:2435802995193235, task_sched_time:2435802996492656
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435802998546306, ref_stop_time: 2435802998648846, actual_exe_time: 102540, task_app_start_time:2435802997508636, task_sched_time:2435802998540936
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435802999111026, ref_stop_time: 2435802999187046, actual_exe_time: 76020, task_app_start_time:2435802995193235, task_sched_time:2435802999103376
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435802999457166, ref_stop_time: 2435802999546746, actual_exe_time: 89580, task_app_start_time:2435802995193235, task_sched_time:2435802999445196
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435803001478326, ref_stop_time: 2435803001552366, actual_exe_time: 74040, task_app_start_time:2435802999821966, task_sched_time:2435803001471276
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435803001481656, ref_stop_time: 2435803001560496, actual_exe_time: 78840, task_app_start_time:2435802997508636, task_sched_time:2435803000618466
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435803001826836, ref_stop_time: 2435803001909996, actual_exe_time: 83160, task_app_start_time:2435802997508636, task_sched_time:2435803001822516
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435803003242417, ref_stop_time: 2435803003302117, actual_exe_time: 59700, task_app_start_time:2435803002136496, task_sched_time:2435803003235367
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435803003723647, ref_stop_time: 2435803003783137, actual_exe_time: 59490, task_app_start_time:2435802999821966, task_sched_time:2435803003660887
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435803004684157, ref_stop_time: 2435803004767407, actual_exe_time: 83250, task_app_start_time:2435802999821966, task_sched_time:2435803004673447
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435803005200427, ref_stop_time: 2435803005258657, actual_exe_time: 58230, task_app_start_time:2435803002136496, task_sched_time:2435803005028137
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435803005499287, ref_stop_time: 2435803005607827, actual_exe_time: 108540, task_app_start_time:2435803002136496, task_sched_time:2435803005492717
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2435803007202477, ref_stop_time: 2435803007282337, actual_exe_time: 79860, task_app_start_time:2435803004603577, task_sched_time:2435803007193927
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2435803007369037, ref_stop_time: 2435803007428497, actual_exe_time: 59460, task_app_start_time:2435803004603577, task_sched_time:2435803007360637
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2435803007664237, ref_stop_time: 2435803007761497, actual_exe_time: 97260, task_app_start_time:2435803004603577, task_sched_time:2435803007660037
